county,cases_x,date,state,fips,cases_y,deaths
Adams,277,2020-12-31,Illinois,17001.0,6582,82.0
Bond,205,2020-12-31,Illinois,17005.0,1554,16.0
Champaign,7089,2020-12-31,Illinois,17019.0,13839,88.0
Clinton,129,2020-12-31,Illinois,17027.0,4485,80.0
Coles,802,2020-12-31,Illinois,17029.0,4294,71.0
Cook,6281,2020-12-31,Illinois,17031.0,393652,8285.0
DuPage,1074,2020-12-31,Illinois,17043.0,61805,1030.0
Jackson,379,2020-12-31,Illinois,17077.0,3650,60.0
Jersey,9,2020-12-31,Illinois,17083.0,1972,42.0
Kane,166,2020-12-31,Illinois,17089.0,41511,604.0
Kankakee,189,2020-12-31,Illinois,17091.0,10717,159.0
Knox,78,2020-12-31,Illinois,17095.0,4059,126.0
Lake,80,2020-12-31,Illinois,17097.0,48300,818.0
Macon,268,2020-12-31,Illinois,17115.0,7959,170.0
Macoupin,0,2020-12-31,Illinois,17117.0,3273,79.0
Madison,472,2020-12-31,Illinois,17119.0,21054,389.0
McDonough,360,2020-12-31,Illinois,17109.0,1978,46.0
McLean,2701,2020-12-31,Illinois,17113.0,11621,115.0
Morgan,129,2020-12-31,Illinois,17137.0,3060,82.0
Peoria,565,2020-12-31,Illinois,17143.0,13172,201.0
Rock Island,260,2020-12-31,Illinois,17161.0,11014,259.0
Saline,69,2020-12-31,Illinois,17165.0,1764,40.0
Sangamon,273,2020-12-31,Illinois,17167.0,13219,197.0
St. Clair,264,2020-12-31,Illinois,17163.0,20854,353.0
Warren,64,2020-12-31,Illinois,17187.0,1496,36.0
Will,360,2020-12-31,Illinois,17197.0,52293,780.0
Winnebago,85,2020-12-31,Illinois,17201.0,24019,373.0
Woodford,71,2020-12-31,Illinois,17203.0,2818,58.0
