county,inmate_cases,date,state,fips,cases,deaths
Adams,1,2020-12-31,Illinois,17001.0,6582,82.0
Bond,774,2020-12-31,Illinois,17005.0,1554,16.0
Brown,213,2020-12-31,Illinois,17009.0,451,11.0
Carroll,547,2020-12-31,Illinois,17015.0,1333,31.0
Champaign,29,2020-12-31,Illinois,17019.0,13839,88.0
Christian,456,2020-12-31,Illinois,17021.0,2600,66.0
Clinton,131,2020-12-31,Illinois,17027.0,4485,80.0
Coles,6,2020-12-31,Illinois,17029.0,4294,71.0
Cook,1933,2020-12-31,Illinois,17031.0,393652,8285.0
Crawford,380,2020-12-31,Illinois,17033.0,1578,31.0
DuPage,0,2020-12-31,Illinois,17043.0,61805,1030.0
Fayette,497,2020-12-31,Illinois,17051.0,2664,49.0
Fulton,219,2020-12-31,Illinois,17057.0,2342,31.0
Grundy,14,2020-12-31,Illinois,17063.0,3859,47.0
Henry,15,2020-12-31,Illinois,17073.0,3692,62.0
Jackson,56,2020-12-31,Illinois,17077.0,3650,60.0
Jefferson,371,2020-12-31,Illinois,17081.0,2926,82.0
Jersey,1,2020-12-31,Illinois,17083.0,1972,42.0
Johnson,374,2020-12-31,Illinois,17087.0,982,15.0
Kane,263,2020-12-31,Illinois,17089.0,41511,604.0
Kankakee,227,2020-12-31,Illinois,17091.0,10717,159.0
Kendall,26,2020-12-31,Illinois,17093.0,8771,73.0
Knox,371,2020-12-31,Illinois,17095.0,4059,126.0
LaSalle,500,2020-12-31,Illinois,17099.0,8363,230.0
Lake,71,2020-12-31,Illinois,17097.0,48300,818.0
Lawrence,1035,2020-12-31,Illinois,17101.0,1985,27.0
Lee,585,2020-12-31,Illinois,17103.0,2707,64.0
Livingston,336,2020-12-31,Illinois,17105.0,3140,58.0
Logan,882,2020-12-31,Illinois,17107.0,2705,51.0
Macon,121,2020-12-31,Illinois,17115.0,7959,170.0
Madison,101,2020-12-31,Illinois,17119.0,21054,389.0
McHenry,63,2020-12-31,Illinois,17111.0,19128,217.0
McLean,7,2020-12-31,Illinois,17113.0,11621,115.0
Montgomery,710,2020-12-31,Illinois,17135.0,2166,24.0
Morgan,488,2020-12-31,Illinois,17137.0,3060,82.0
Peoria,124,2020-12-31,Illinois,17143.0,13172,201.0
Perry,870,2020-12-31,Illinois,17145.0,2185,52.0
Pulaski,112,2020-12-31,Illinois,17153.0,560,3.0
Randolph,256,2020-12-31,Illinois,17157.0,3324,47.0
Rock Island,395,2020-12-31,Illinois,17161.0,11014,259.0
Saline,5,2020-12-31,Illinois,17165.0,1764,40.0
Sangamon,19,2020-12-31,Illinois,17167.0,13219,197.0
Schuyler,1,2020-12-31,Illinois,17169.0,543,14.0
St. Clair,248,2020-12-31,Illinois,17163.0,20854,353.0
Tazewell,866,2020-12-31,Illinois,17179.0,10431,197.0
Vermilion,968,2020-12-31,Illinois,17183.0,6429,90.0
Will,695,2020-12-31,Illinois,17197.0,52293,780.0
Williamson,806,2020-12-31,Illinois,17199.0,5316,106.0
Winnebago,58,2020-12-31,Illinois,17201.0,24019,373.0
